Fecha,Temporada,Jornada,Equipo1,Equipo2,Goles1,Goles2
29/08/1998,1998-1999,1,Alavés,Betis,0,0
29/08/1998,1998-1999,1,Valencia,Atlético de Madrid,1,0
30/08/1998,1998-1999,1,Celta de Vigo,Deportivo de La Coruña,0,0
30/08/1998,1998-1999,1,Espanyol,Tenerife,2,1
30/08/1998,1998-1999,1,Extremadura,Valladolid,0,0
30/08/1998,1998-1999,1,Racing de Santander,Barcelona,0,0
30/08/1998,1998-1999,1,Real Sociedad,Oviedo,3,3
30/08/1998,1998-1999,1,Salamanca,Mallorca,0,0
30/08/1998,1998-1999,1,Zaragoza,Athletic Club,2,0
31/08/1998,1998-1999,1,Real Madrid,Villarreal,4,1
12/09/1998,1998-1999,2,Athletic Club,Racing de Santander,2,0
12/09/1998,1998-1999,2,Atlético de Madrid,Salamanca,2,0
12/09/1998,1998-1999,2,Barcelona,Extremadura,1,0
12/09/1998,1998-1999,2,Betis,Zaragoza,1,3
12/09/1998,1998-1999,2,Deportivo de La Coruña,Valencia,1,0
12/09/1998,1998-1999,2,Tenerife,Real Sociedad,2,2
12/09/1998,1998-1999,2,Valladolid,Real Madrid,0,1
12/09/1998,1998-1999,2,Villarreal,Celta de Vigo,1,1
13/09/1998,1998-1999,2,Mallorca,Espanyol,2,0
13/09/1998,1998-1999,2,Oviedo,Alavés,1,0
19/09/1998,1998-1999,3,Real Madrid,Barcelona,2,2
20/09/1998,1998-1999,3,Celta de Vigo,Valladolid,0,0
20/09/1998,1998-1999,3,Alavés,Zaragoza,1,0
20/09/1998,1998-1999,3,Espanyol,Atlético de Madrid,1,1
20/09/1998,1998-1999,3,Extremadura,Athletic Club,0,1
20/09/1998,1998-1999,3,Racing de Santander,Betis,1,0
20/09/1998,1998-1999,3,Real Sociedad,Mallorca,0,1
20/09/1998,1998-1999,3,Oviedo,Tenerife,0,1
20/09/1998,1998-1999,3,Salamanca,Deportivo de La Coruña,3,1
20/09/1998,1998-1999,3,Valencia,Villarreal,1,0
26/09/1998,1998-1999,4,Athletic Club,Real Madrid,2,3
26/09/1998,1998-1999,4,Atlético de Madrid,Real Sociedad,4,1
